;DAY;WEEK;MONTH;YEAR;YEAR_MONTH;NUMSEG;NUMSILLON;CODSEG;ACTIF;LIBTYP;RESAOPEN;DATE_RES;STATUT_SNCF;CODSILLON;DSTFIN;NUMLIGNE;KMS;SENS;SERVICE;CLOSING;REF;DEP;ARR;CODLIGNE;DATCAL;HRE_DEP_MOD;HRE_ARR_MOD;IDCALJ;SEG_MOD;RESTRICT_LNG;EXCTRAIN;EXCSILLON;ENVOI_BULLETIN_COMPO;NUMMISDEP
0;1;05;2;2019;02-2019;12589;22;30000;1;Arrivee;1;02-01-2019 00:00:00;3.0;30010;BETTEMBOURG;1;1040;1;BETTEMBOURG/LE BOULOU;31-01-2019 23:00:00;01-02-2019 02:30:00;01-02-2019 03:55:00;01-02-2019 17:22:00;LB-BTG;2019-02-01;;;;;;;;3.0;12609.0
1;1;05;2;2019;02-2019;12517;4;30101;1;Arrivee;1;02-01-2019 00:00:00;3.0;30101;LE BOULOU;2;1040;0;BETTEMBOURG/LE BOULOU;01-02-2019 01:00:00;01-02-2019 03:51:00;01-02-2019 04:11:00;01-02-2019 18:55:00;BTG-LB;2019-02-01;;;;;;;;3.0;12537.0
2;1;05;2;2019;02-2019;12685;373;30301;1;Arrivee;1;02-01-2019 00:00:00;3.0;30957;Le Boulou;5;1500;0;CALAIS/LE BOULOU;31-01-2019 22:00:00;01-02-2019 03:00:00;01-02-2019 04:12:00;02-02-2019 04:51:00;CAL-LB;2019-02-01;;;;;;;;3.0;12705.0
3;1;05;2;2019;02-2019;12705;76;30200;1;Arrivee;1;02-01-2019 00:00:00;3.0;30200;CALAIS;6;1500;1;CALAIS/LE BOULOU;01-02-2019 03:00:00;01-02-2019 04:30:00;01-02-2019 06:19:00;02-02-2019 02:23:00;LB-CAL;2019-02-01;;;;;;;;3.0;12725.0
4;1;05;2;2019;02-2019;12545;6;30105;1;Arrivee;1;02-01-2019 00:00:00;3.0;30105;LE BOULOU;2;1040;0;BETTEMBOURG/LE BOULOU;01-02-2019 12:30:00;01-02-2019 14:45:00;01-02-2019 15:42:00;02-02-2019 07:10:00;BTG-LB;2019-02-01;;;;;;;;3.0;12565.0
5;1;05;2;2019;02-2019;12614;2;30004;1;Arrivee;1;02-01-2019 00:00:00;3.0;30004;BETTEMBOURG;1;1040;1;BETTEMBOURG/LE BOULOU;01-02-2019 13:00:00;01-02-2019 15:00:00;01-02-2019 16:05:00;02-02-2019 06:29:00;LB-BTG;2019-02-01;;;;;;;;3.0;12634.0
6;1;05;2;2019;02-2019;12741;358;41321;0;Supprimee;0;02-01-2019 00:00:00;3.0;41321;SAINT JEAN DE MAURIENNE;24;1150;0;CALAIS/ORBASSANO;01-02-2019 16:30:00;01-02-2019 17:00:00;01-02-2019 19:15:00;02-02-2019 13:32:00;CAL-ORBA;2019-02-01;;;;;;;;3.0;
7;1;05;2;2019;02-2019;12641;71;30006;1;Arrivee;1;02-01-2019 00:00:00;3.0;30056;BETTEMBOURG;1;1040;1;BETTEMBOURG/LE BOULOU;01-02-2019 18:00:00;01-02-2019 20:33:00;01-02-2019 20:54:00;02-02-2019 12:02:00;LB-BTG;2019-02-01;20:54:00;12:02:00;1859.0;2126.0;1.0;;71.0;3.0;12661.0
8;1;05;2;2019;02-2019;12641;71;30006;1;Arrivee;1;02-01-2019 00:00:00;3.0;30056;BETTEMBOURG;1;1040;1;BETTEMBOURG/LE BOULOU;01-02-2019 18:00:00;01-02-2019 20:33:00;01-02-2019 20:54:00;02-02-2019 12:02:00;LB-BTG;2019-02-01;;;;;;;;3.0;12661.0
9;1;05;2;2019;02-2019;12569;120;30107;1;Arrivee;1;02-01-2019 00:00:00;3.0;30137;LE BOULOU;2;1040;0;BETTEMBOURG/LE BOULOU;01-02-2019 18:00:00;01-02-2019 21:33:00;01-02-2019 22:15:00;02-02-2019 13:06:00;BTG-LB;2019-02-01;22:15:00;13:06:00;1859.0;2130.0;1.0;;120.0;3.0;12589.0
10;1;05;2;2019;02-2019;12569;120;30107;1;Arrivee;1;02-01-2019 00:00:00;3.0;30137;LE BOULOU;2;1040;0;BETTEMBOURG/LE BOULOU;01-02-2019 18:00:00;01-02-2019 21:33:00;01-02-2019 22:15:00;02-02-2019 13:06:00;BTG-LB;2019-02-01;;;;;;;;3.0;12589.0
11;1;05;2;2019;02-2019;12765;359;41314;0;Supprimee;0;02-01-2019 00:00:00;;41314;CALAIS;25;1150;1;CALAIS/ORBASSANO;01-02-2019 20:30:00;01-02-2019 20:00:00;01-02-2019 22:20:00;02-02-2019 20:39:00;ORBA - CAL;2019-02-01;22:20:00;20:39:00;1859.0;12339.0;0.0;;359.0;;
12;1;05;2;2019;02-2019;12765;359;41314;0;Supprimee;0;02-01-2019 00:00:00;;41314;CALAIS;25;1150;1;CALAIS/ORBASSANO;01-02-2019 20:30:00;01-02-2019 20:00:00;01-02-2019 22:20:00;02-02-2019 20:39:00;ORBA - CAL;2019-02-01;;;;;;;;;
13;1;09;3;2019;03-2019;14853;383;PB-30000;1;Arrivee;1;30-01-2019 00:00:00;3.0;30050;BETTEMBOURG;29;1020;1;BETTEMBOURG/PERPIGNAN-ROUSSILLON;28-02-2019 22:00:00;01-03-2019 03:30:00;01-03-2019 04:12:00;01-03-2019 17:22:00;PPN-BTG;2019-03-01;;;;;;;;3.0;14873.0
14;1;09;3;2019;03-2019;14799;380;BP-30101;1;Arrivee;1;30-01-2019 00:00:00;3.0;30101;PERPIGNAN;28;1020;0;BETTEMBOURG/PERPIGNAN-ROUSSILLON;28-02-2019 23:00:00;01-03-2019 04:44:00;01-03-2019 05:32:00;01-03-2019 18:42:00;BTG-PPN;2019-03-01;05:32:00;18:42:00;1887.0;14750.0;0.0;;380.0;3.0;14819.0
15;1;09;3;2019;03-2019;14799;380;BP-30101;1;Arrivee;1;30-01-2019 00:00:00;3.0;30101;PERPIGNAN;28;1020;0;BETTEMBOURG/PERPIGNAN-ROUSSILLON;28-02-2019 23:00:00;01-03-2019 04:44:00;01-03-2019 05:32:00;01-03-2019 18:42:00;BTG-PPN;2019-03-01;;;;;;;;3.0;14819.0
16;1;09;3;2019;03-2019;14775;381;BB-30101;1;Arrivee;1;30-01-2019 00:00:00;3.0;XXX;BARCELONE;26;1220;0;BETTEMBOURG/BARCELONA;28-02-2019 23:00:00;01-03-2019 04:12:00;01-03-2019 05:32:00;02-03-2019 14:53:00;BTG-BCN;2019-03-01;;;;;;;;;14795.0
